country,year,population,gdp,electricity_demand,electricity_generation,electricity_share_energy,carbon_intensity_elec,greenhouse_gas_emissions,net_elec_imports,primary_energy_consumption,biofuel_consumption,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,coal_consumption,coal_electricity,coal_share_elec,coal_share_energy,fossil_electricity,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_consumption,gas_electricity,gas_share_elec,gas_share_energy,hydro_consumption,hydro_electricity,hydro_share_elec,hydro_share_energy,nuclear_consumption,nuclear_electricity,nuclear_share_elec,nuclear_share_energy,oil_consumption,oil_electricity,oil_share_elec,oil_share_energy,renewables_consumption,renewables_electricity,renewables_share_elec,renewables_share_energy,solar_consumption,solar_electricity,solar_share_elec,solar_share_energy,wind_consumption,wind_electricity,wind_share_elec,wind_share_energy,continent,status
China,1991,1170626176.0,3508947910656.0,,677.55,8.372,,,,8337.61,,,,,6433.427,498.434,73.564,77.162,552.786,7968.69,81.586,95.575,156.118,2.429,0.358,1.872,368.704,124.689,18.403,4.422,0.0,0.0,0.0,0.0,1379.144,51.923,7.663,16.541,368.921,124.764,18.414,4.425,0.006,0.002,0.0,0.0,0.027,0.009,0.001,0.0,Asia,High-Income
China,1992,1183813376.0,3755037425664.0,,753.94,8.852,,,,8773.708,,,,,6731.497,567.33,75.249,76.724,623.007,8386.55,82.633,95.587,159.142,2.467,0.327,1.814,386.437,130.686,17.334,4.404,0.0,0.0,0.0,0.0,1495.912,53.21,7.058,17.05,387.158,130.933,17.367,4.413,0.009,0.003,0.0,0.0,0.388,0.131,0.017,0.004,Asia,High-Income
China,1993,1195855616.0,4126169628672.0,,811.59,8.863,,,,9457.634,,,,,7170.356,589.228,72.602,75.816,657.806,9003.102,81.052,95.194,168.969,3.124,0.385,1.787,449.007,151.846,18.71,4.748,4.551,1.604,0.198,0.048,1663.776,65.454,8.065,17.592,449.981,152.179,18.751,4.758,0.012,0.004,0.0,0.0,0.627,0.212,0.026,0.007,Asia,High-Income
China,1994,1207286656.0,4438753280000.0,,927.8,9.573,,,,10048.812,,,,,7641.667,693.408,74.737,76.045,744.761,9509.277,80.272,94.631,176.971,3.154,0.34,1.761,495.086,167.429,18.046,4.927,41.87,14.756,1.59,0.417,1690.638,48.199,5.195,16.824,497.665,168.278,18.137,4.952,0.015,0.005,0.001,0.0,1.135,0.384,0.041,0.011,Asia,High-Income
China,1995,1218144384.0,4810000039936.0,,1007.03,10.123,,,,10352.658,,,,,7736.85,741.886,73.671,74.733,799.979,9741.276,79.439,94.094,178.795,2.999,0.298,1.727,563.543,190.58,18.925,5.443,36.414,12.833,1.274,0.352,1825.631,55.094,5.471,17.634,574.968,194.217,19.286,5.554,0.021,0.007,0.001,0.0,1.822,0.616,0.061,0.018,Asia,High-Income
China,1996,1228298880.0,5127589593088.0,,1081.31,10.289,,,,10907.449,,,,,8095.389,824.184,76.221,74.219,877.363,10305.78,81.139,94.484,187.362,2.828,0.262,1.718,555.825,187.97,17.384,5.096,40.684,14.338,1.326,0.373,2023.029,50.351,4.656,18.547,560.985,189.606,17.535,5.143,0.027,0.009,0.001,0.0,0.278,0.094,0.009,0.003,Asia,High-Income
China,1997,1237801472.0,5291338891264.0,,1135.55,10.748,,,,10981.134,,,,,7931.912,867.026,76.353,72.232,922.219,10351.442,81.213,94.266,197.985,8.077,0.711,1.803,579.511,195.98,17.259,5.277,40.911,14.418,1.27,0.373,2221.545,47.115,4.149,20.231,588.779,198.911,17.517,5.362,0.033,0.011,0.001,0.0,0.585,0.198,0.017,0.005,Asia,High-Income
China,1998,1246836096.0,5338703069184.0,,1167.0,11.031,,,,11000.566,,,,,7871.717,891.674,76.407,71.557,951.158,10363.471,81.505,94.209,204.163,6.092,0.522,1.856,588.116,198.89,17.043,5.346,40.009,14.1,1.208,0.364,2287.591,53.392,4.575,20.795,597.086,201.74,17.287,5.428,0.041,0.014,0.001,0.0,1.051,0.356,0.03,0.01,Asia,High-Income
China,1999,1255433216.0,5578502963200.0,,1239.3,11.3,,,,11386.067,,,,,8099.032,969.684,78.245,71.131,1024.758,10752.908,82.688,94.439,216.631,4.813,0.388,1.903,581.285,196.58,15.862,5.105,42.418,14.949,1.206,0.373,2437.245,50.261,4.056,21.405,590.742,199.591,16.105,5.188,0.05,0.017,0.001,0.0,1.401,0.474,0.038,0.012,Asia,High-Income
China,2000,1264099072.0,5952682590208.0,1346.85,1355.6,11.967,672.367,911.46,-8.75,11800.283,0.0,2.54,0.187,0.0,8211.406,1060.26,78.213,69.587,1113.3,11085.259,82.126,93.941,246.957,5.77,0.426,2.093,657.664,222.41,16.407,5.573,47.491,16.74,1.235,0.402,2626.896,47.27,3.487,22.261,667.533,225.56,16.639,5.657,0.065,0.02,0.001,0.001,1.744,0.59,0.044,0.015,Asia,High-Income
China,2001,1272739584.0,6329737412608.0,1472.19,1480.79,12.45,654.88,969.74,-8.6,12470.062,0.0,2.55,0.172,0.0,8635.754,1129.14,76.253,69.252,1182.59,11595.461,79.862,92.986,276.458,4.93,0.333,2.217,815.031,277.43,18.735,6.536,49.255,17.47,1.18,0.395,2683.249,48.52,3.277,21.518,825.347,280.73,18.958,6.619,0.091,0.03,0.002,0.001,2.113,0.72,0.049,0.017,Asia,High-Income
China,2002,1280926080.0,6814493573120.0,1645.61,1654.01,12.747,663.279,1097.07,-8.4,13580.49,1.715,2.55,0.154,0.013,9467.457,1282.57,77.543,69.714,1337.47,12657.19,80.862,93.201,294.136,4.19,0.253,2.166,840.537,287.97,17.41,6.189,70.378,25.13,1.519,0.518,2895.598,50.71,3.066,21.322,852.921,291.41,17.618,6.28,0.14,0.05,0.003,0.001,2.444,0.84,0.051,0.018,Asia,High-Income
China,2003,1288873344.0,7248622387200.0,1903.22,1910.58,12.574,677.915,1295.21,-7.36,15818.756,4.735,2.54,0.133,0.03,11283.059,1519.97,79.555,71.327,1579.96,14859.567,82.695,93.936,341.747,5.16,0.27,2.16,822.707,283.68,14.848,5.201,120.618,43.34,2.268,0.763,3234.762,54.83,2.87,20.449,838.57,287.28,15.036,5.301,0.186,0.06,0.003,0.001,2.891,1.0,0.052,0.018,Asia,High-Income
China,2004,1296816768.0,7830953263104.0,2197.23,2203.31,12.415,667.9,1471.59,-6.08,18509.135,5.97,2.53,0.115,0.032,13155.28,1722.42,78.174,71.075,1795.41,17332.893,81.487,93.645,399.84,7.46,0.339,2.16,1018.791,353.54,16.046,5.504,139.558,50.47,2.291,0.754,3777.772,65.53,2.974,20.41,1036.686,357.43,16.222,5.601,0.219,0.08,0.004,0.001,3.682,1.28,0.058,0.02,Asia,High-Income
China,2005,1304887552.0,8602940080128.0,2494.08,2500.26,12.39,670.506,1676.44,-6.18,21027.164,8.375,5.32,0.213,0.04,15405.105,1980.15,79.198,73.263,2042.8,19713.344,81.703,93.752,469.751,12.14,0.486,2.234,1136.824,397.02,15.879,5.406,145.871,53.09,2.123,0.694,3838.487,50.51,2.02,18.255,1167.95,404.37,16.173,5.554,0.241,0.08,0.003,0.001,5.572,1.95,0.078,0.027,Asia,High-Income
China,2006,1313086592.0,9489543593984.0,2858.84,2865.72,12.951,676.615,1938.99,-6.88,23048.367,12.103,7.13,0.249,0.053,16918.381,2302.42,80.344,73.404,2364.16,21612.988,82.498,93.772,577.838,23.82,0.831,2.507,1239.988,435.79,15.207,5.38,149.745,54.84,1.914,0.65,4116.769,37.92,1.323,17.861,1285.634,446.72,15.588,5.578,0.27,0.09,0.003,0.001,10.562,3.71,0.129,0.046,Asia,High-Income
China,2007,1321513216.0,10358205972480.0,3271.23,3281.54,13.659,679.41,2229.51,-10.31,25049.293,13.065,9.86,0.3,0.052,18423.912,2656.7,80.959,73.551,2718.7,23448.26,82.848,93.608,710.779,33.91,1.033,2.838,1372.143,485.26,14.788,5.478,168.582,62.13,1.893,0.673,4313.567,28.09,0.856,17.22,1432.453,500.71,15.258,5.719,0.322,0.11,0.003,0.001,15.493,5.48,0.167,0.062,Asia,High-Income
China,2008,1330167168.0,10799147909120.0,3482.96,3495.76,14.157,649.673,2271.1,-12.8,26019.0,16.717,14.87,0.425,0.064,18715.92,2708.91,77.491,71.932,2762.29,23943.34,79.018,92.023,819.329,34.57,0.989,3.149,1789.895,636.96,18.221,6.879,184.426,68.39,1.956,0.709,4408.092,18.81,0.538,16.942,1891.234,665.08,19.025,7.269,0.427,0.15,0.004,0.002,36.812,13.1,0.375,0.141,Asia,High-Income
China,2009,1339125632.0,11572544012288.0,3703.26,3714.64,14.374,658.037,2444.37,-11.38,27158.898,19.889,20.86,0.562,0.073,19605.02,2911.52,78.38,72.186,2980.2,25087.559,80.229,92.373,902.24,56.56,1.523,3.322,1719.316,615.64,16.573,6.331,187.726,70.05,1.886,0.691,4580.298,12.12,0.326,16.865,1883.614,664.39,17.886,6.936,0.779,0.28,0.008,0.003,77.121,27.61,0.743,0.284,Asia,High-Income
China,2010,1348191360.0,12858808074240.0,4193.65,4207.16,15.285,650.845,2738.21,-13.51,29055.609,19.797,24.9,0.592,0.068,20340.541,3233.6,76.859,70.006,3346.04,26643.771,79.532,91.699,1088.74,77.73,1.848,3.747,1974.5,711.38,16.909,6.796,199.071,74.74,1.776,0.685,5214.49,34.71,0.825,17.947,2212.766,786.38,18.691,7.616,1.946,0.7,0.017,0.007,137.113,49.4,1.174,0.472,Asia,High-Income
China,2011,1357095424.0,13673158410240.0,4700.28,4713.02,15.822,663.763,3128.33,-12.74,31336.535,21.901,27.63,0.586,0.07,22143.604,3690.87,78.312,70.664,3833.44,28885.965,81.337,92.18,1351.629,108.77,2.308,4.313,1898.078,688.04,14.599,6.057,230.835,87.2,1.85,0.737,5390.733,33.8,0.717,17.203,2219.735,792.38,16.813,7.084,7.2,2.61,0.055,0.023,204.416,74.1,1.572,0.652,Asia,High-Income
China,2012,1366560768.0,14358127050752.0,4976.76,4987.54,16.241,637.491,3179.51,-10.78,32624.225,25.844,30.13,0.604,0.079,22422.357,3748.19,75.151,68.729,3889.66,29585.432,77.988,90.685,1508.776,110.25,2.211,4.625,2365.726,862.79,17.299,7.251,258.69,98.32,1.971,0.793,5654.299,31.22,0.626,17.332,2780.102,999.56,20.041,8.522,9.856,3.59,0.072,0.03,282.556,103.05,2.066,0.866,Asia,High-Income
China,2013,1376100352.0,15304425996288.0,5420.4,5431.63,17.097,636.494,3457.2,-11.23,33852.562,35.384,37.13,0.684,0.105,22902.131,4077.37,75.067,67.653,4226.76,30528.387,77.818,90.18,1718.785,116.39,2.143,5.077,2479.073,909.61,16.747,7.323,291.608,111.5,2.053,0.861,5907.47,33.0,0.608,17.451,3032.571,1093.37,20.13,8.958,22.822,8.37,0.154,0.067,376.828,138.26,2.545,1.113,Asia,High-Income
China,2014,1385189632.0,16220856254464.0,5783.04,5794.45,17.945,617.373,3577.34,-11.41,34729.508,37.398,46.27,0.799,0.108,22804.703,4203.06,72.536,65.664,4372.0,30830.85,75.452,88.774,1883.631,133.28,2.3,5.424,2870.808,1059.69,18.288,8.266,346.318,133.22,2.299,0.997,6142.517,35.66,0.615,17.687,3552.34,1289.23,22.249,10.229,63.697,23.51,0.406,0.183,432.813,159.76,2.757,1.246,Asia,High-Income
China,2015,1393715456.0,16710945996800.0,5802.14,5814.58,17.904,596.838,3470.36,-12.44,35134.855,26.17,54.07,0.93,0.074,22329.041,4046.17,69.587,63.552,4249.54,30885.832,73.084,87.907,1946.895,166.91,2.871,5.541,3001.359,1114.52,19.168,8.542,442.87,171.38,2.947,1.26,6609.896,36.46,0.627,18.813,3806.155,1393.66,23.968,10.833,106.32,39.48,0.679,0.303,499.793,185.59,3.192,1.422,Asia,High-Income
China,2016,1401889664.0,17255473610752.0,6120.44,6133.16,18.954,584.956,3587.63,-12.72,35278.277,28.382,62.13,1.013,0.08,21675.779,4156.35,67.768,61.442,4397.19,30593.768,71.695,86.721,2094.411,188.28,3.07,5.937,3087.34,1153.27,18.804,8.751,547.629,213.18,3.476,1.552,6823.578,52.56,0.857,19.342,4136.883,1522.79,24.829,11.726,178.098,66.53,1.085,0.505,644.793,240.86,3.927,1.828,Asia,High-Income
China,2017,1410275968.0,17575081672704.0,6591.39,6604.44,19.743,579.864,3829.68,-13.05,36649.703,26.255,79.6,1.205,0.072,21915.443,4430.03,67.077,59.797,4689.28,31511.137,71.002,85.979,2412.522,203.2,3.077,6.583,3100.576,1165.06,17.641,8.46,633.589,248.1,3.757,1.729,7183.172,56.05,0.849,19.6,4504.977,1667.06,25.242,12.292,313.5,117.8,1.784,0.855,810.629,304.6,4.612,2.212,Asia,High-Income
China,2018,1417069440.0,18151620214784.0,7150.92,7166.14,20.539,574.629,4117.87,-15.22,38415.93,34.036,93.73,1.308,0.089,22352.146,4763.92,66.478,58.185,5035.82,32726.068,70.272,85.189,2839.26,215.5,3.007,7.391,3171.928,1198.89,16.73,8.257,748.955,295.0,4.117,1.95,7534.662,56.4,0.787,19.613,4940.908,1835.32,25.611,12.862,468.029,176.9,2.469,1.218,967.807,365.8,5.105,2.519,Asia,High-Income
China,2019,1421864064.0,,7486.63,7503.43,20.662,560.781,4207.78,-16.8,40206.684,30.525,112.73,1.502,0.076,22922.236,4855.19,64.706,57.011,5140.16,33921.184,68.504,84.367,3083.768,232.5,3.099,7.67,3354.375,1272.54,16.959,8.343,882.026,348.7,4.647,2.194,7915.177,52.47,0.699,19.686,5403.476,2014.57,26.849,13.439,590.458,224.0,2.985,1.469,1068.36,405.3,5.402,2.657,Asia,High-Income
China,2020,1424929792.0,,7762.03,7779.07,20.84,550.468,4282.13,-17.04,41513.812,22.805,135.63,1.744,0.055,23402.553,4921.96,63.272,56.373,5227.93,34753.18,67.205,83.715,3366.173,252.5,3.246,8.109,3471.19,1321.71,16.991,8.362,922.889,366.2,4.708,2.223,7984.453,53.47,0.687,19.233,5837.744,2184.94,28.087,14.062,685.724,261.1,3.356,1.652,1225.164,466.5,5.997,2.951,Asia,High-Income
China,2021,1425893504.0,,8516.56,8534.26,21.769,544.974,4650.95,-17.7,43873.07,28.214,165.93,1.944,0.064,24315.475,5328.83,62.44,55.422,5678.03,36318.707,66.532,82.781,3802.679,287.1,3.364,8.667,3401.68,1300.0,15.233,7.753,1023.213,407.5,4.775,2.332,8200.554,62.1,0.728,18.692,6531.148,2448.73,28.693,14.886,855.653,327.0,3.832,1.95,1716.017,655.8,7.684,3.911,Asia,High-Income
China,2022,1425887360.0,,8831.03,8848.73,22.542,533.983,4725.07,-17.7,44275.914,27.874,176.63,1.996,0.063,24559.486,5397.8,61.001,55.469,5760.75,36138.059,65.103,81.62,3757.047,290.58,3.284,8.486,3397.424,1303.13,14.727,7.673,1045.25,417.8,4.722,2.361,7821.524,72.37,0.818,17.665,7092.607,2670.18,30.176,16.019,1115.113,427.72,4.834,2.519,1988.45,762.7,8.619,4.491,Asia,High-Income
Germany,1991,79801984.0,2140549414912.0,535.26,535.83,14.158,,,-0.57,4090.643,,1.87,0.349,,1343.595,307.67,57.419,32.846,371.62,3620.403,69.354,88.505,669.193,36.11,6.739,16.359,46.868,14.89,2.779,1.146,418.25,147.23,27.477,10.225,1607.615,27.84,5.196,39.3,51.99,16.98,3.169,1.271,0.003,0.0,0.0,0.0,0.296,0.22,0.041,0.007,Europe,High-Income
Germany,1992,80205024.0,2206446125056.0,528.34,533.66,14.516,,,-5.32,4009.338,0.051,2.04,0.382,0.001,1214.498,295.67,55.404,30.292,355.13,3497.78,66.546,87.241,661.627,32.89,6.163,16.502,55.103,17.4,3.261,1.374,450.597,158.8,29.757,11.239,1621.655,26.57,4.979,40.447,60.96,19.73,3.697,1.52,0.006,0.0,0.0,0.0,0.813,0.29,0.054,0.02,Europe,High-Income
Germany,1993,80573496.0,2210102247424.0,523.36,522.49,14.25,,,0.87,3991.526,0.051,1.97,0.377,0.001,1145.774,293.25,56.125,28.705,348.69,3492.76,66.736,87.504,700.113,34.57,6.616,17.54,56.065,17.88,3.422,1.405,435.559,153.28,29.336,10.912,1646.873,20.87,3.994,41.259,63.208,20.52,3.927,1.584,0.009,0.0,0.0,0.0,1.774,0.67,0.128,0.044,Europe,High-Income
Germany,1994,80882120.0,2290161025024.0,527.55,525.21,14.465,,,2.34,3954.172,0.288,2.07,0.394,0.007,1111.452,290.29,55.271,28.108,351.07,3456.352,66.844,87.41,712.927,40.25,7.664,18.03,59.716,19.93,3.795,1.51,429.032,150.7,28.693,10.85,1631.973,20.53,3.909,41.272,68.788,23.44,4.463,1.74,0.012,0.01,0.002,0.0,2.688,1.43,0.272,0.068,Europe,High-Income
Germany,1995,81123264.0,2356396687360.0,537.63,532.81,14.63,,,4.82,3974.795,0.359,2.43,0.456,0.009,1053.939,289.14,54.267,26.516,353.79,3462.442,66.401,87.11,777.374,43.18,8.104,19.558,63.741,21.78,4.088,1.604,437.261,153.09,28.733,11.001,1631.13,21.47,4.03,41.037,75.091,25.93,4.867,1.889,0.015,0.01,0.002,0.0,4.435,1.71,0.321,0.112,Europe,High-Income
Germany,1996,81300864.0,2402605858816.0,545.42,550.69,14.625,,,-5.27,4105.846,0.565,2.5,0.454,0.014,1049.402,295.99,53.749,25.559,364.12,3578.19,66.121,87.149,869.91,48.02,8.72,21.187,55.645,21.96,3.988,1.355,458.579,160.02,29.058,11.169,1658.878,20.11,3.652,40.403,69.077,26.55,4.821,1.682,0.018,0.01,0.002,0.0,6.009,2.08,0.378,0.146,Europe,High-Income
Germany,1997,81436096.0,2474738188288.0,545.66,548.01,14.847,,,-2.35,4053.187,0.924,2.65,0.484,0.023,1016.818,284.34,51.886,25.087,354.62,3496.779,64.711,86.272,831.034,49.73,9.075,20.503,56.041,17.36,3.168,1.383,483.308,170.33,31.082,11.924,1648.927,20.55,3.75,40.682,73.1,23.06,4.208,1.804,0.033,0.02,0.004,0.001,8.77,3.03,0.553,0.216,Europe,High-Income
Germany,1998,81524384.0,2552402542592.0,551.74,552.38,15.053,,,-0.64,4019.631,1.026,3.06,0.554,0.026,992.512,292.26,52.909,24.692,365.83,3481.879,66.228,86.622,838.65,53.83,9.745,20.864,56.189,17.22,3.117,1.398,458.542,161.64,29.262,11.408,1650.717,19.74,3.574,41.066,79.209,24.91,4.51,1.971,0.044,0.04,0.007,0.001,13.274,4.59,0.831,0.33,Europe,High-Income
Germany,1999,81556968.0,2632654520320.0,553.58,552.54,15.379,,,1.04,3963.56,1.336,3.51,0.635,0.034,955.582,281.27,50.905,24.109,353.82,3392.88,64.035,85.602,836.191,55.06,9.965,21.097,61.168,19.65,3.556,1.543,482.389,170.0,30.767,12.171,1601.107,17.49,3.165,40.396,88.292,28.72,5.198,2.228,0.056,0.03,0.005,0.001,16.346,5.53,1.001,0.412,Europe,High-Income
Germany,2000,81551680.0,2741356986368.0,572.07,569.01,15.808,498.568,283.69,3.06,3988.179,2.569,4.33,0.761,0.064,992.096,296.68,52.14,24.876,363.93,3391.776,63.958,85.046,829.246,49.2,8.647,20.793,73.629,21.73,3.819,1.846,481.26,169.61,29.808,12.067,1570.435,18.05,3.172,39.377,115.143,35.47,6.234,2.887,0.0,0.06,0.011,0.0,28.091,9.35,1.643,0.704,Europe,High-Income
Germany,2001,81514568.0,2819462529024.0,582.62,578.96,15.762,494.386,286.23,3.66,4062.799,3.597,4.59,0.793,0.089,994.936,293.74,50.736,24.489,369.76,3460.381,63.866,85.172,874.482,55.5,9.586,21.524,68.157,22.73,3.926,1.678,482.924,171.3,29.588,11.886,1590.963,20.52,3.544,39.159,119.494,37.9,6.546,2.941,0.294,0.12,0.021,0.007,30.847,10.46,1.807,0.759,Europe,High-Income
Germany,2002,81443424.0,2851462971392.0,593.75,583.75,16.112,497.062,290.16,10.0,4011.723,5.652,5.31,0.91,0.141,997.149,299.6,51.323,24.856,374.43,3408.056,64.142,84.952,873.128,56.3,9.645,21.764,69.176,23.12,3.961,1.724,461.706,164.84,28.238,11.509,1537.78,18.53,3.174,38.332,141.96,44.48,7.62,3.539,0.584,0.19,0.033,0.015,46.118,15.86,2.717,1.15,Europe,High-Income
Germany,2003,81346808.0,2863394193408.0,597.43,600.7,16.572,500.083,300.4,-3.27,4010.471,8.099,8.95,1.49,0.202,1013.62,304.63,50.713,25.274,388.97,3405.057,64.753,84.904,883.72,62.59,10.42,22.035,53.134,18.32,3.05,1.325,459.353,165.06,27.478,11.454,1507.717,21.75,3.621,37.595,146.061,46.67,7.769,3.642,0.908,0.31,0.052,0.023,55.355,19.09,3.178,1.38,Europe,High-Income
Germany,2004,81266672.0,2929753849856.0,605.76,608.38,16.887,487.031,296.3,-2.62,4009.893,10.795,10.64,1.749,0.269,988.11,298.77,49.109,24.642,383.34,3366.811,63.01,83.963,888.211,62.67,10.301,22.15,59.782,20.75,3.411,1.491,461.972,167.07,27.461,11.521,1490.49,21.9,3.6,37.17,181.111,57.97,9.529,4.517,1.605,0.56,0.092,0.04,74.978,26.02,4.277,1.87,Europe,High-Income
Germany,2005,81212168.0,2983874265088.0,606.66,611.23,17.195,482.535,294.94,-4.57,3962.631,19.94,14.71,2.407,0.503,945.387,288.14,47.141,23.858,384.78,3308.255,62.952,83.486,902.81,72.19,11.811,22.783,56.232,19.64,3.213,1.419,447.986,163.05,26.676,11.305,1460.058,24.45,4.0,36.846,206.39,63.4,10.373,5.208,3.745,1.28,0.209,0.095,79.528,27.77,4.543,2.007,Europe,High-Income
Germany,2006,81177816.0,3129394593792.0,610.38,627.36,17.272,474.337,297.58,-16.98,4062.384,31.799,18.94,3.019,0.783,983.311,288.93,46.055,24.205,387.58,3360.617,61.78,82.725,920.069,74.73,11.912,22.648,56.996,20.03,3.193,1.403,456.955,167.27,26.663,11.248,1457.237,23.92,3.813,35.871,244.812,72.51,11.558,6.026,6.445,2.22,0.354,0.159,89.129,31.32,4.992,2.194,Europe,High-Income
Germany,2007,81183832.0,3268102848512.0,613.18,629.74,18.095,488.662,307.73,-16.56,3893.425,36.146,24.62,3.91,0.928,1008.287,297.1,47.178,25.897,399.83,3214.107,63.491,82.552,886.362,77.45,12.299,22.766,59.861,21.17,3.362,1.537,381.321,140.53,22.316,9.794,1319.459,25.28,4.014,33.889,297.996,89.38,14.193,7.654,8.87,3.08,0.489,0.228,114.538,40.51,6.433,2.942,Europe,High-Income
Germany,2008,81217488.0,3340933005312.0,610.88,630.98,18.026,468.43,295.57,-20.1,3934.661,31.715,28.02,4.441,0.806,931.808,275.21,43.616,23.682,388.21,3225.884,61.525,81.986,895.006,88.48,14.023,22.747,57.446,20.44,3.239,1.46,401.18,148.49,23.533,10.196,1399.069,24.52,3.886,35.558,307.597,94.28,14.942,7.818,12.668,4.42,0.7,0.322,116.294,41.38,6.558,2.956,Europe,High-Income
Germany,2009,81260624.0,3189039955968.0,574.39,586.66,17.882,464.562,272.54,-12.27,3692.18,31.513,30.89,5.265,0.853,834.292,253.45,43.202,22.596,355.79,3018.432,60.647,81.752,844.301,80.27,13.683,22.867,53.148,19.03,3.244,1.439,361.601,134.93,23.0,9.794,1339.838,22.07,3.762,36.289,312.147,95.94,16.354,8.454,18.753,6.58,1.122,0.508,110.089,39.42,6.719,2.982,Europe,High-Income
Germany,2010,81325088.0,3356793241600.0,607.78,622.73,18.252,462.11,287.77,-14.95,3847.15,31.542,33.92,5.447,0.82,896.172,262.89,42.216,23.294,376.99,3134.529,60.538,81.477,880.712,88.76,14.253,22.893,58.157,20.95,3.364,1.512,374.362,140.56,22.572,9.731,1357.644,25.34,4.069,35.29,338.26,105.18,16.89,8.792,33.204,11.73,1.884,0.863,106.99,38.55,6.19,2.781,Europe,High-Income
